adresses;latitude;longitude
Achennad, tanger;35.7404209;-5.8286718
Drissia, tanger;35.754;-5.8
Ben Dibane, tanger;35.7593745;-5.8269159
Beni Makada Lakdima, tanger;;
Centre ville, tanger;35.778;-5.806
Branes Kdima, tanger;35.7470171;-5.8673859
Aviation, tanger;;
manar, tanger;35.75959;-5.8495551
Aharrarine, tanger;35.7301164;-5.8392704
Marchane, tanger;;
El Mers 2, tanger;;
Hay Al Bassatine, tanger;34.247058;-6.5172476
De La Plage, tanger;35.7830617;-5.8106692
Moulay Youssef, tanger;35.770505;-5.8088097
El Mers 1, tanger;35.7362103;-5.8217757
Branes 1, tanger;35.7470171;-5.8673859
El Majd, tanger;;
Jbel Kbir, tanger;;
Zouitina, tanger;35.732901;-5.8116348
Beni Said, tanger;35.4205943;-5.172401134312382
Port Tanger ville, tanger;;
Bel Air - Val fleuri, tanger;;
Makhoukha, tanger;;
Administratif, tanger;34.9260617;-2.3344763
Charf, tanger;35.7716359;-5.7940459
Al Kasaba, tanger;35.1688367;-5.2613535
Castilla, tanger;35.7674624;-5.8152873
Sania, tanger;35.7787383;-5.7551633
Haddad, tanger;35.7384367;-5.8050053
Hay El Boughaz, tanger;;
Hanaa 1, tanger;;
Hanaa 3 - Soussi, tanger;;
Jirrari, tanger;;
Benkirane, tanger;35.75417365;-5.789577571547406
Casabarata, tanger;35.7646237;-5.823807
Bir El Ghazi, tanger;35.7148101;-5.8099652
Lalla Chafia, tanger;35.7714855;-5.8172455
Al Amal, tanger;35.7622384;-5.8194224
Bir Chifa, tanger;35.74387125;-5.826226410195826
Hanaa 2, tanger;;
Médina, tanger;35.786408;-5.8109634
Mozart, tanger;35.7745092;-5.7981098
Cap spartel, tanger;35.7915279;-5.9256665
Bouhout 1, tanger;35.7566828;-5.7923249
Ain El Hayani, tanger;;
Douar Laarab, tanger;;
Toute la ville, tanger;;
Sidi Abdellah Ghiat, tanger;;
Route de Fès, tanger;34.7968144;-5.562276475801067
Route de Ouarzazate, tanger;;
Tilila, tanger;;
Cité Adrar, tanger;;
Hay Salam, tanger;33.0104885;-7.6264449
Ancienne Médina, tanger;35.5711126;-5.367554554822162
Route de Marrakech, tanger;;
Lahrarta, tanger;;
Plage rose marae, tanger;;
Agdal, tanger;34.0308903;-4.992628
Riad isli, tanger;;
Al Boustane, tanger;35.7765719;-5.8611405
Route d'Ourika, tanger;;
Les Ambassadeurs, tanger;;
Route de Sidi A. Ghiat, tanger;;
Secteur Touristique, tanger;;
Hay Mohammadi, tanger;35.2533374;-3.9333395
Tafoukt, tanger;;
Hay Riad, tanger;;
Charaf, tanger;35.7848293;-5.8126495
Route d'Amezmiz, tanger;;
Souissi, tanger;;
Route de Tamansourt, tanger;;
Oasis, tanger;;
Fès Médina, tanger;35.7762429;-5.8141536
Mabella, tanger;;
Polo, tanger;;
Oued Tensift, tanger;;
Harhoura, tanger;;
Oued Ourika, tanger;;
Guich Oudaya, tanger;;
Hay Targa, tanger;;
Al Wifaq, tanger;;
Route de Casablanca, tanger;;
Annakhil, tanger;35.7571133;-5.8292608
Mandarona, tanger;;
Mers Sultan, tanger;;
Ville Nouvelle, tanger;35.7033186;-5.9359797
Hay Riad, rabat;33.9641769;-6.8825009
Kébibat, rabat;34.0155651;-6.8545429
Agdal, rabat;33.9983119;-6.8542908
Yacoub El Mansour, rabat;33.9895343;-6.8811155
Haut Agdal, rabat;33.9935961;-6.858762503808537
Taqaddoum, rabat;;
Autre secteur, rabat;;
Hay Nahda, rabat;34.2531661;-6.5521319
Guich Oudaya, rabat;33.9394209;-6.8862954
