Type,transaction,ville,ville_secteur,surface_totale,surface_habitable,chambres,salle_bains,salons,pieces,etage,terrasse,balcon,parking,ascenseur,securite,climatisation,cuisine_equipee,concierge,duplex,chauffage,meuble,garage,jardin,piscine,prix
0,louer,4,"Quartier des Hôpitaux, Casablanca",65,60,1,1,1,2,3,1,1,1,1,1,1,1,1,0,1,1,0,0,0,6500
0,louer,4,"Autre secteur, Casablanca",135,125,3,2,1,4,3,0,1,1,1,0,0,0,1,0,0,0,0,0,0,6500
0,louer,4,"Ain Sebaa, Casablanca",118,96,3,2,1,4,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,4500
0,louer,4,"Triangle d'Or, Casablanca",128,128,2,2,1,3,2,0,1,1,1,1,1,1,0,0,1,1,0,0,0,9500
0,louer,4,"Belvédère, Casablanca",100,100,3,1,1,4,4,0,0,1,1,1,0,1,1,0,0,0,0,0,0,5500
0,louer,4,"Sidi Maarouf, Casablanca",137,137,2,2,2,4,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,4800
0,louer,4,"Maarif, Casablanca",100,100,3,2,1,4,2,0,1,0,1,1,0,0,1,0,1,0,0,0,0,4500
0,louer,4,"Nassim, Casablanca",90,90,2,2,2,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4500
0,louer,4,"Maarif, Casablanca",55,40,1,1,1,2,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,6500
0,louer,4,"Belvédère, Casablanca",100,100,2,1,2,4,5,0,1,1,1,1,1,1,1,0,0,1,0,0,0,6500
0,louer,4,"Sidi Maarouf, Casablanca",113,90,2,2,1,3,2,1,0,1,1,1,1,1,0,0,1,0,0,0,0,6500
0,louer,4,"Maarif, Casablanca",50,50,1,1,0,1,2,0,0,0,1,1,0,1,1,0,1,1,0,0,0,3500
0,louer,4,"Maârif Extension, Casablanca",43,43,1,1,1,2,4,0,1,1,1,1,1,1,1,0,1,1,0,0,0,8500
0,louer,4,"Californie, Casablanca",70,70,2,2,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4300
0,louer,4,"Racine, Casablanca",100,100,2,2,1,3,4,0,1,1,1,1,0,1,1,0,1,1,0,0,0,9500
0,louer,4,"Californie, Casablanca",100,100,2,2,1,3,3,1,1,1,1,1,1,1,0,0,1,0,0,0,0,6500
0,louer,4,"Maarif, Casablanca",60,60,1,1,1,2,2,1,1,0,1,1,1,1,1,0,1,1,0,0,0,5800
0,louer,4,"Palmier, Casablanca",50,50,1,1,1,2,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,7000
0,louer,4,"Sidi Maarouf, Casablanca",61,61,2,1,1,3,3,1,0,0,1,1,1,1,1,1,1,1,0,0,0,4000
0,louer,4,"Racine, Casablanca",160,160,3,2,1,4,5,1,1,1,1,1,1,1,1,0,1,0,0,0,0,14000
0,louer,4,"Nassim, Casablanca",98,98,3,2,1,4,2,0,1,1,1,1,1,1,1,0,0,0,0,0,0,6000
0,louer,4,"Casablanca Finance City, Casablanca",70,60,1,2,1,2,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,9700
0,louer,4,"Maarif, Casablanca",50,50,1,1,1,2,3,0,1,1,1,1,1,1,1,0,0,0,0,0,0,5800
0,louer,4,"Sidi Maarouf, Casablanca",60,60,2,1,1,3,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3500
0,louer,4,"Mers Sultan, Casablanca",130,130,3,1,1,4,2,0,0,1,1,1,0,1,1,0,0,1,0,0,0,7000
0,louer,4,"2 Mars, Casablanca",160,160,3,2,2,5,3,0,1,1,1,1,0,1,1,0,1,1,0,0,0,8500
0,louer,4,"Autre secteur, Casablanca",99,99,2,2,1,3,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,4000
0,louer,4,"Oasis, Casablanca",124,120,3,2,2,5,5,0,1,1,1,1,1,1,0,0,0,1,0,0,0,8500
0,louer,4,"Aïn Diab, Casablanca",68,68,2,2,2,4,6,1,1,1,1,1,1,1,1,0,1,1,0,0,0,12500
0,louer,4,"Palmier, Casablanca",40,40,1,1,1,2,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,6700
0,louer,4,"Casablanca Finance City, Casablanca",55,55,1,1,1,2,2,0,1,1,1,1,1,1,1,0,1,1,0,0,0,7500
0,louer,4,"Aïn Borja, Casablanca",130,130,3,2,1,4,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3500
0,louer,4,"Beauséjour, Casablanca",180,180,2,2,1,3,5,1,0,1,1,1,1,1,1,0,1,1,0,0,0,10000
0,louer,4,"Gauthier, Casablanca",74,74,2,2,1,3,3,1,1,1,1,1,1,1,1,0,1,0,0,0,0,8500
0,louer,4,"Gauthier, Casablanca",64,64,1,1,1,2,2,0,0,0,0,0,0,1,1,0,0,1,0,0,0,5500
0,louer,4,"Casablanca Finance City, Casablanca",74,74,1,1,1,2,8,1,1,1,1,1,1,1,1,0,1,1,0,0,0,10500
0,louer,4,"Californie, Casablanca",125,125,3,2,1,4,2,1,1,1,0,1,0,1,1,0,0,1,0,0,0,10000
0,louer,4,"Gauthier, Casablanca",120,120,2,2,1,3,6,1,1,1,1,1,0,1,1,0,0,0,0,0,0,11000
0,louer,4,"Riviera, Casablanca",44,44,1,1,1,2,1,0,1,0,1,1,1,1,1,0,0,1,0,0,0,6300
0,louer,4,"Anfa, Casablanca",70,70,1,1,1,2,4,1,0,1,1,1,0,1,1,0,0,1,0,0,0,5500
0,louer,4,"Anfa, Casablanca",44,44,1,1,1,2,4,0,1,0,1,1,0,1,1,0,0,1,0,0,0,4500
0,louer,4,"Gauthier, Casablanca",160,160,3,2,3,6,5,0,1,0,1,1,1,1,1,0,1,1,0,0,0,15000
0,louer,4,"Ain Sebaa, Casablanca",80,80,2,1,2,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4000
0,louer,4,"Bourgogne, Casablanca",65,65,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7000
0,louer,4,"Gauthier, Casablanca",140,140,2,2,2,4,2,0,1,0,0,0,0,1,0,0,0,1,0,0,0,7500
