Type,transaction,ville,ville_secteur,surface_totale,surface_habitable,chambres,salle_bains,salons,pieces,etage,age_bien,terrasse,balcon,parking,ascenseur,securite,climatisation,cuisine_equipee,concierge,duplex,chauffage,meuble,garage,jardin,piscine,prix
0,vendre,4,"Sidi Bernoussi, Casablanca",85,85,2,1,2,4,1,2,0,0,0,0,1,0,1,0,0,0,1,0,0,0,540000
0,vendre,4,"Errahma, Casablanca",66,66,2,2,1,3,2,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,525000
0,vendre,4,"Errahma, Casablanca",57,53,2,1,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290000
0,vendre,4,"Bourgogne, Casablanca",90,83,2,1,1,3,6,4,1,1,0,1,1,0,1,1,0,0,0,0,0,0,950000
0,vendre,4,"Val Fleuri, Casablanca",132,132,3,2,1,4,2,2,0,1,1,1,1,1,1,1,0,1,0,0,0,0,1880000
0,vendre,4,"Bourgogne, Casablanca",136,110,3,3,1,4,2,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,2100000
0,vendre,4,"Casablanca Finance City, Casablanca",52,40,1,1,1,2,2,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,820000
0,vendre,4,"Roches Noires, Casablanca",105,88,2,2,1,3,5,2,1,1,1,1,0,0,1,0,0,0,0,0,0,0,940000
0,vendre,4,"Maarif, Casablanca",84,84,2,2,1,3,3,3,0,1,1,1,1,0,1,1,0,0,0,0,0,0,1380000
0,vendre,4,"Ain Sebaa, Casablanca",60,58,2,1,1,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350000
0,vendre,4,"Racine, Casablanca",140,140,3,2,1,4,8,4,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1550000
0,vendre,4,"Centre Ville, Casablanca",120,120,3,3,2,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,550000
0,vendre,4,"Oulfa, Casablanca",69,69,2,1,1,3,2,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,760000
0,vendre,4,"Oulfa, Casablanca",121,96,3,2,1,4,2,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1100000
0,vendre,4,"Anfa, Casablanca",54,54,2,1,1,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,550000
1,vendre,4,"Californie, Casablanca",450,3450,6,5,3,9,2,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,7500000
1,vendre,4,"Autre secteur, Casablanca",520,560,4,4,3,7,2,0,1,1,0,0,1,1,1,0,0,1,0,1,1,1,7200000
1,vendre,4,"Californie, Casablanca",376,500,5,4,5,10,1,3,1,1,1,0,1,1,1,0,0,1,1,1,1,1,4900000
1,vendre,4,"C.I.L, Casablanca",452,350,4,3,3,7,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9800000
1,vendre,4,"Sidi Maarouf, Casablanca",375,375,5,5,5,10,3,1,1,1,0,0,0,1,1,0,0,0,1,1,1,0,7500000
1,vendre,4,"Hay Hassani, Casablanca",320,100,5,2,2,7,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3500000
1,vendre,4,"2 Mars, Casablanca",140,277,5,2,2,7,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3500000
1,vendre,4,"Route d'Azemmour, Casablanca",452,500,5,7,6,11,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4500000
1,vendre,4,"2 Mars, Casablanca",210,140,6,2,2,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4600000
1,vendre,4,"Californie, Casablanca",450,450,4,4,3,7,2,3,1,1,1,0,1,1,0,0,0,1,0,1,1,1,7500000
1,vendre,4,"Hay Laymouna, Casablanca",604,300,7,4,3,10,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9500000
1,vendre,4,"Autre secteur, Casablanca",292,290,3,3,2,5,1,2,1,1,1,0,1,1,0,0,0,0,0,1,1,1,4950000
1,vendre,4,"Laimoune, Casablanca",570,550,6,4,3,9,3,4,1,1,1,0,0,1,1,0,0,1,1,1,1,0,9400000
1,vendre,4,"Almaz, Casablanca",320,320,6,5,2,8,3,1,1,1,1,0,1,1,1,0,0,1,0,1,1,1,4000000
1,vendre,4,"Aïn Diab, Casablanca",480,480,5,4,5,10,2,1,1,1,1,0,0,1,0,0,0,1,0,0,1,1,9000000
1,vendre,4,"Autre secteur, Casablanca",160,240,3,2,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2800000
1,vendre,4,"Californie, Casablanca",618,520,6,6,4,10,3,3,1,1,0,0,1,1,0,0,0,0,0,1,1,1,6500000
1,vendre,4,"Californie, Casablanca",618,520,6,6,3,9,3,3,1,1,0,0,1,1,0,0,0,0,0,1,1,1,6500000
1,vendre,4,"Californie, Casablanca",790,550,4,3,2,6,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9500000
1,vendre,4,"Hay Inara, Casablanca",136,300,4,5,5,9,2,3,1,1,1,0,0,0,1,0,0,0,0,1,1,0,3400000
1,vendre,4,"Zone Industrielle, Casablanca",240,160,3,3,2,5,2,0,1,1,1,0,1,1,1,0,0,1,0,1,1,0,2800000
1,vendre,4,"Californie, Casablanca",423,510,5,4,4,9,2,2,1,1,1,0,1,1,1,0,0,1,0,1,1,1,8500000
0,vendre,4,"Les Princesses, Casablanca",75,75,2,1,1,3,2,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,1260000
